name,year,summary
Waterloo,18 ,"The Battle of Waterloo was fought on Sunday 18 June 1815, near Waterloo (then in the United Kingdom of the Netherlands, now in Belgium), marking the end of the Napoleonic Wars. The French Imperial Army under the command of Napoleon I was defeated by two armies of the Seventh Coalition. One was a British-led force with units from the United Kingdom, the Netherlands, Hanover, Brunswick, and Nassau, under the command of field marshal Arthur Wellesley, Duke of Wellington. The other comprised three c"
Gettysburg,1 ,"The Battle of Gettysburg (locally  ) was a three-day battle in the American Civil War, which was fought between the Union and Confederate armies between July 1 and July 3, 1863, in and around Gettysburg, Pennsylvania. The battle, won by the Union, is widely considered the Civil War's turning point, leading to an ultimate victory of the Union and the preservation of the nation. The Battle of Gettysburg was the bloodiest battle of both the Civil War and of any battle in American military history, "
Marathon,490 BC,"The Battle of Marathon took place in 490 BC during the first Persian invasion of Greece. It was fought between the citizens of Athens, aided by Plataea, and a Persian force commanded by Datis and Artaphernes. The battle was the culmination of the first attempt by Persia under King Darius I to subjugate Greece. The Greek army inflicted a crushing defeat on the more numerous Persians, marking a turning point in the Greco-Persian Wars.
The first Persian invasion was a response to Athenian involveme"
Hastings,14 ,"The Battle of Hastings was fought on 14 October 1066 between the Norman-French army of William, Duke of Normandy, and an English army under the Anglo-Saxon King Harold Godwinson, beginning the Norman Conquest of England. It took place approximately 7 mi (11 km) northwest of Hastings, close to the present-day town of Battle, East Sussex, and was a decisive Norman victory.
The background to the battle was the death of the childless King Edward the Confessor in January 1066, which set up a successi"
Midway,4,"The Battle of Midway was a major naval battle in the Pacific Theater of World War II that took place on 4–7 June 1942, six months after Japan's attack on Pearl Harbor and one month after the Battle of the Coral Sea. The Japanese Combined Fleet under the command of Isoroku Yamamoto suffered a decisive defeat by the U.S. Pacific Fleet near Midway Atoll, about 1,300 mi (1,100 nmi; 2,100 km) northwest of Oahu. Yamamoto had intended to capture Midway and lure out and destroy the U.S. Pacific Fleet, e"
Tours,10 ,"The Battle of Tours, also called the Battle of Poitiers and the Battle of the Highway of the Martyrs (Arabic: معركة بلاط الشهداء, romanized: Maʿrakat Balāṭ ash-Shuhadā'), was fought on 10 October 732, and was an important battle during the Umayyad invasion of Gaul. It resulted in victory for the Frankish and Aquitanian forces, led by Charles Martel, over the invading Umayyad forces, led by Abd al-Rahman al-Ghafiqi, governor of al-Andalus. Several historians, such as Edward Gibbon, have credited "
Agincourt,25 ,"The Battle of Agincourt ( AJ-in-kor(t); French: Azincourt [azɛ̃kuʁ]) was an English victory in the Hundred Years' War. It took place on 25 October 1415 (Saint Crispin's Day) near Azincourt, in northern France. The unexpected victory of the vastly outnumbered English troops against the numerically superior French army boosted English morale and prestige, crippled France, and started a new period of English dominance in the war that would last for 14 years until England was defeated by France in 1"
Leipzig,16 ,"The Battle of Leipzig, also known as the Battle of the Nations, was fought from 16 to 19 October 1813 at Leipzig, Saxony. The Coalition armies of Austria, Prussia, Sweden, and Russia, led by Tsar Alexander I, Karl von Schwarzenberg, and Gebhard von Blücher, decisively defeated the Grande Armée of French Emperor Napoleon Bonaparte. Napoleon's army also contained Polish and Italian troops, as well as Germans from the Confederation of the Rhine (mainly Saxony and Württemberg). The battle was the cu"
Vienna,12 ,"The Siege and Battle of Vienna took place at Kahlenberg Mountain near Vienna on 12 September 1683 after the city had been besieged by the Ottoman Empire for two months. The battle was fought by the Holy Roman Empire (led by the Habsburg monarchy) and the Polish–Lithuanian Commonwealth, both under the command of King John III Sobieski, against the Ottomans and their vassal and tributary states. The battle marked the first time the Commonwealth and the Holy Roman Empire had cooperated militarily a"
Borodino,7 ,"The Battle of Borodino or the Battle of Moscow took place on the outskirts of Moscow near the village of Borodino on 7 September 1812 during Napoleon's invasion of Russia. The Grande Armée fought against the Imperial Russian Army. 
After the Russian retreat in the Battle of Smolensk, the road to Moscow lay open. Napoleon fought against General Mikhail Kutuzov, whom the Emperor Alexander I had appointed to replace Barclay de Tolly on 29 August 1812 after Smolensk was razed and captured by the Fre"
Salamis,480 BC,"The Battle of Salamis ( SAL-ə-miss) was a naval battle fought in 480 BC, between an alliance of Greek city-states under Themistocles, and the Achaemenid Empire under King Xerxes. It resulted in a victory for the outnumbered Greeks. 
The battle was fought in the straits between the mainland and Salamis, an island in the Saronic Gulf near Athens, and marked the high point of the second Persian invasion of Greece. It was arguably the largest naval battle of the ancient world, and marked a turning p"
Trafalgar,21 ,"The Battle of Trafalgar was a naval engagement that took place on 21 October 1805 between the Royal Navy and a combined fleet of the French and Spanish navies during the War of the Third Coalition. As part of Napoleon's planned invasion of the United Kingdom, the French and Spanish fleets combined to take control of the English Channel and provide the Grande Armée safe passage. The allied fleet, under the command of French admiral Pierre-Charles Villeneuve, sailed from the port of Cádiz in the s"
Jutland,31 ,"The Battle of Jutland (German: Skagerrakschlacht, lit. 'Battle of the Skagerrak') was a naval battle between Britain's Royal Navy Grand Fleet, under Admiral Sir John Jellicoe, and the Imperial German Navy's High Seas Fleet, under Vice-Admiral Reinhard Scheer, during the First World War. The battle unfolded in extensive manoeuvring and three main engagements from 31 May to 1 June 1916, off the North Sea coast of Denmark's Jutland Peninsula. It was the largest naval battle and only full-scale clas"
