name,year,summary,url
Great Malta,Unknown,"The Great Siege of Malta (Maltese: L-Assedju l-Kbir) occurred in 1565 when the Ottoman Empire attempted to conquer the island of Malta, then held by the Knights Hospitaller. The siege lasted nearly four months, from 18 May to 8 September 1565.
The Knights Hospitaller had been headquartered in Malta since 1530, after being driven out of Rhodes, also by the Ottomans, in 1522, following the siege of Rhodes. The Ottomans first attempted to take Malta in 1551 but failed. In 1565, Suleiman the Magnifi",https://en.wikipedia.org/wiki/Great_Siege_of_Malta
1969 in the Vietnam War,Unknown,"The inauguration of Richard Nixon in January led to a reevaluation of the U.S. role in the war. U.S. forces peaked at 543,000 in April. U.S. military strategy remained relatively unchanged from the offensive strategy of 1968 until the Battle of Hamburger Hill in May which led to a change a more reactive approach. The U.S. and South Vietnam agreed on a policy of Vietnamization with South Vietnamese forces being expanded and equipped to take over more of the ground combat from the departing Americ",https://en.wikipedia.org/wiki/1969_in_the_Vietnam_War
List of American Civil War battles,Unknown,"Battles of the American Civil War were fought between April 12, 1861, and May 12–13, 1865 in 19 states, mostly Confederate (Alabama, Arkansas, Florida, Georgia, Kansas, Kentucky, Louisiana, Maryland, Mississippi, Missouri, North Carolina, Ohio, Pennsylvania, South Carolina, Tennessee, Texas, Vermont, Virginia, and West Virginia), the District of Columbia, and six territories (Arizona Territory (also Confederate Arizona), Colorado Territory, Dakota Territory, Indian Territory (present-day Oklahom",https://en.wikipedia.org/wiki/List_of_American_Civil_War_battles
Hong Kong,Unknown,"The Battle of Hong Kong (8–25 December 1941), also known as the Defence of Hong Kong and the Fall of Hong Kong, was one of the first battles of the Pacific War in World War II. On the same morning as the attack on Pearl Harbor, forces of the Empire of Japan attacked the British Crown colony of Hong Kong around the same time that Japan declared war on Britain. The Hong Kong garrison consisted of British, Indian and Canadian units, also the Auxiliary Defence Units and Hong Kong Volunteer Defence C",https://en.wikipedia.org/wiki/Battle_of_Hong_Kong
French Revolutionary Wars,Unknown,"The French Revolutionary Wars (French: Guerres de la Révolution française) were a series of sweeping military conflicts resulting from the French Revolution that lasted from 1792 until 1802. They pitted France against Great Britain, Austria, Prussia, Russia, and several other countries. The wars are divided into two periods: the War of the First Coalition (1792–1797) and the War of the Second Coalition (1798–1802). Initially confined to Europe, the fighting gradually assumed a global dimension. ",https://en.wikipedia.org/wiki/French_Revolutionary_Wars
Bosnian War,Unknown,"The Bosnian War (Serbo-Croatian: Rat u Bosni i Hercegovini / Рат у Босни и Херцеговини) was an international armed conflict that took place in Bosnia and Herzegovina between 1992 and 1995. Following several earlier violent incidents, the war is commonly seen as having started on 6 April 1992 when the newly independent Republic of Bosnia and Herzegovina was internationally recognized. It ended on 21 November 1995 when the Dayton Accords were initialed. The main belligerents were the forces of the",https://en.wikipedia.org/wiki/Bosnian_War
Second Dego,Unknown,"The Second Battle of Dego was fought on 14  and 15 April 1796 during the French Revolutionary Wars between French forces and Austro-Sardinian forces. The battle was fought near Dego, a hamlet in northwestern Italy, and ended in a French victory.",https://en.wikipedia.org/wiki/Second_Battle_of_Dego
List of orders of battle,Unknown,"This is a list of orders of battle, which list the known military units that were located within the field of operations for a battle or campaign. The battles are listed in chronological order by starting date (or planned start date).",https://en.wikipedia.org/wiki/List_of_orders_of_battle
Khalakhaljid Sands,Unknown,"The Battle of Khalakhaljid Sands was fought between Genghis Khan, then known as Temüjin, and the forces of Toghrul, khan of the Kereit. The Kereit elites, deeply suspicious of Temüjin's diplomatic overtures to Toghrul, had convinced their leader to turn on his vassal. Warned by two herdsmen, Temüjin had escaped a planned ambush but was pursued by a larger force. His Mongol allies came to his aid at the Khalakhaljid Sands, but they were defeated. Following the battle, in which Temüjin's 17-year-o",https://en.wikipedia.org/wiki/Battle_of_Khalakhaljid_Sands
the Delta,Unknown,"The Battle of the Delta was a sea battle between Egypt and the Sea Peoples, circa 1175 BC, when the Egyptian pharaoh Ramesses III repelled a major sea invasion. The conflict occurred on the shores of the eastern Nile Delta and on the border of the Egyptian Empire in Syria, although precise locations of the battles are unknown. This major conflict is recorded on the temple walls of the mortuary temple of pharaoh Ramesses III at Medinet Habu.

",https://en.wikipedia.org/wiki/Battle_of_the_Delta
Xiangyang,Unknown,"The Battle of Xiangyang (traditional Chinese: 襄陽之戰; simplified Chinese: 襄阳之战; pinyin: Xiāngyáng zhī zhàn) was a protracted series of battles between the Yuan dynasty and the Southern Song dynasty from 1267 to 1273. The battle was a significant victory for the Yuan dynasty and ended a 30-year defensive campaign waged by the Southern Song dynasty, allowing Yuan forces to advance into the Southern Song heartland. The capture of Xiangyang also allowed the Yuan dynasty to take control of the Han and ",https://en.wikipedia.org/wiki/Battle_of_Xiangyang
Iran–Israel war,Unknown,"The Iran–Israel war (13 June – 25 June 2025), also known as the Twelve-Day War, was an armed conflict in the Middle East. The war began when Israel bombed military and nuclear facilities in Iran in a surprise attack, assassinating prominent military leaders, nuclear scientists, and politicians, killing civilians, and damaging or destroying air defenses. Iran retaliated with over 550 ballistic missiles and over 1,000 suicide drones, hitting civilian population centers, one hospital and at least t",https://en.wikipedia.org/wiki/Iran%E2%80%93Israel_war
Campaign hat,Unknown,"A campaign hat, sometimes called campaign cover, is a broad-brimmed felt or straw hat, with a high crown, pinched symmetrically at the four corners. The campaign hat is occasionally referred to as a Stetson, derived from its origin in the company's Boss of the Plains model in the late 19th century. 
The hat is most commonly worn as part of a uniform, by such organizations as the Royal Canadian Mounted Police, the New Zealand Army, United States Park Rangers, and Scouts. It should not be confused",https://en.wikipedia.org/wiki/Campaign_hat
Second Homs,Unknown,"The Second Battle of Homs was fought in western Syria on 29 October 1281, between the armies of the Mamluk dynasty of Egypt and the Ilkhanate, a division of the Mongol Empire centered on Iran. The battle was part of Abaqa Khan's attempt at taking Syria from the Egyptians.",https://en.wikipedia.org/wiki/Second_Battle_of_Homs
Strasbourg,Unknown,"The Battle of Strasbourg, also known as the Battle of Argentoratum, was fought in 357 between the Western Roman army under Julian and the Alamanni tribal confederation led by the joint paramount King Chnodomar. The battle took place near Strasbourg, called Argentoratum in Ammianus Marcellinus' account, Argentorate in the Tabula Peutingeriana (section 2).
Although possibly outnumbered, the Roman army won a decisive victory after a hard-fought struggle with the Alamanni. With negligible casualties",https://en.wikipedia.org/wiki/Battle_of_Strasbourg
The Indian Wars Refought,Unknown,"The Indian Wars Refought is a 1914 American silent Western film that depicts several historical battles of The Indian Wars. The film was directed by Theodore Wharton and stars William F. Cody, Nelson Appleton Miles and Charles King, all of whom participated in the actual battles depicted in the movie. The feature was produced by the Buffalo Bill Historical Picture Company and Essanay Film Mfg. Company. The film was released in August 1914, but according to modern sources, it only played in Denve",https://en.wikipedia.org/wiki/The_Indian_Wars_Refought
Field artillery in the American Civil War,Unknown,"Field artillery in the American Civil War refers to the artillery weapons, equipment, and practices used by the artillery branch to support infantry and cavalry forces in the field. It does not include siege artillery, use of artillery in fixed fortifications, coastal or naval artillery. It also does not include smaller, specialized artillery pieces classified as infantry guns.",https://en.wikipedia.org/wiki/Field_artillery_in_the_American_Civil_War
Mecca (1916),Unknown,"The Battle of Mecca occurred in the Muslim holy city of Mecca in June and July 1916. On June 10, the Sharif of Mecca, Hussein bin Ali, the leader of the Banu Hashim clan, started a revolt against the Ottoman Caliphate from this city. The Battle of Mecca was part of the Arab Revolt of World War I.",https://en.wikipedia.org/wiki/Battle_of_Mecca_(1916)
Lord of War,Unknown,"Lord of War is a 2005 crime drama film written and directed by Andrew Niccol. It stars Nicolas Cage, Jared Leto, Bridget Moynahan, Ethan Hawke, and Eamonn Walker in primary roles. The plot follows an unscrupulous Ukrainian-American man named Yuri Orlov (portrayed by Cage) as he participates in the global arms trafficking industry in the years preceding and succeeding the dissolution of the Soviet Union. The film was released in the United States by Lions Gate Films on September 16, 2005, and gro",https://en.wikipedia.org/wiki/Lord_of_War
Belleau Wood,Unknown,"The Battle of Belleau Wood (1–26 June 1918) was a major battle that occurred during the German spring offensive in World War I, near the Marne River in France. The battle was fought by the U.S. 2nd (under the command of Major General Omar Bundy) and 3rd Divisions along with French and British forces against an assortment of German units including elements from the 237th, 10th, 197th, 87th, and 28th Divisions. 
In United States Marines Corps lore dating back to the battle, the nickname Teufel Hun",https://en.wikipedia.org/wiki/Battle_of_Belleau_Wood
China in the Korean War,Unknown,"China became a late but important belligerent during the Korean War and played a significant role in the conflict. The People's Republic of China entered the conflict in October 1950, with the Chinese People's Volunteer Army (PVA) units crossing the Yalu River in secret, in support of North Korea. Subsequently, Chinese forces launched multiple major campaigns against United Nations (UN) forces and South Korean troops, playing a crucial role in prolonging and shaping the war's outcome. Throughout",https://en.wikipedia.org/wiki/China_in_the_Korean_War
War in southern Vietnam (1945–1946),Unknown,"The 1945–1946 War in Southern Vietnam, codenamed Operation Masterdom by the British, and also known as the Southern Resistance War (Vietnamese: Nam Bộ kháng chiến) by the Vietnamese, was a post–World War II armed conflict involving a largely Indian and French task force from the Southern Expeditionary Army Group, versus the Vietnamese independence movements, which included the Stalinist-front Viet Minh, the Trotskyists, and nationalists, for control of the southern half of the country, after the",https://en.wikipedia.org/wiki/War_in_southern_Vietnam_(1945%E2%80%931946)
Polish–Ottoman War (1620–1621),Unknown,"The Polish–Ottoman War (1620–1621) was a conflict between the Polish–Lithuanian Commonwealth and the Ottoman Empire over the control of Moldavia. It ended with the Commonwealth withdrawing its claims on Moldavia and led to the eventual demise of the Sultan Osman II.
It is also known as the Khotyn War, because it was ended by the Treaty of Khotyn (9 October 1621) in the aftermath of the final Battle of Khotyn (1621).",https://en.wikipedia.org/wiki/Polish%E2%80%93Ottoman_War_(1620%E2%80%931621)
Taginae,Unknown,"At the Battle of Taginae (also known as the Battle of Busta Gallorum) in June/July 552, the forces of the Byzantine Empire under Narses broke the power of the Ostrogoths in Italy, and paved the way for the temporary Byzantine reconquest of the Italian Peninsula. The Ostrogothic King Totila was mortally wounded during the fighting.",https://en.wikipedia.org/wiki/Battle_of_Taginae
Soviet Union in the Korean War,Unknown,"Though not officially a belligerent during the Korean War (1950–1953), the Soviet Union played a significant, covert role in the conflict. It provided material and medical services, as well as Soviet pilots and aircraft, most notably MiG-15 fighter jets, to aid the North Korean-Chinese army against the South Korean-United Nations Forces.",https://en.wikipedia.org/wiki/Soviet_Union_in_the_Korean_War
Chakirmaut,Unknown,"The Battle of Chakirmaut was the concluding battle of Genghis Khan's unification of the Mongol tribes. Temujin, as Genghis was then known, fought and defeated the combined forces of coalition of tribes led by the Naimans under Tayang Khan and his son Kuchlug and rival Khan claimant Jamukha. Tayang Khan died in battle, Kuchlug fled with a small force and Jamukha retreated but was later captured and executed.",https://en.wikipedia.org/wiki/Battle_of_Chakirmaut
Warhammer Ancient Battles,Unknown,"Warhammer Ancient Battles (often referred to as ""WAB"" and sometimes Warhammer Historical) is a ruleset for miniatures wargames produced by Games Workshop's Warhammer Historical Wargames imprint. It is a rulebook for historical wargames developed from the popular Warhammer Fantasy Battle by Jervis Johnson, Rick Priestley and the Perry brothers. On 24 May 2012, Warhammer Historical closed their website and are now defunct.",https://en.wikipedia.org/wiki/Warhammer_Ancient_Battles
