title,summary,url,category
List of World War II battles,"This is a list of World War II battles encompassing land, naval, and air engagements as well as campaigns, operations, defensive lines and sieges. Campaigns generally refer to broader strategic operations conducted over a large area of territory and over a long period. Battles generally refer to short periods of intense combat localised to a specific area and over a specific period. However, use of the terms in naming such events is not consistent. For example, the Battle of the Atlantic was more or less an entire theatre of war, and the so-called battle lasted for the duration of the entire war. Another misnomer is the Battle of Britain, which should be considered a campaign, not a battle.",https://en.wikipedia.org/wiki/List_of_World_War_II_battles,World War II battles
List of theaters and campaigns of World War II,"The List of theatres and campaigns of World War II subdivides military operations of World War II and contemporary wars by war, then by theater and then by campaign.",https://en.wikipedia.org/wiki/List_of_theaters_and_campaigns_of_World_War_II,World War II battles
Convoy battles of World War II,"Convoy Battles of World War II occurred when convoys of warships protected cargo ships assembled for mutual defense and were attacked by submarines, surface ships and/or aircraft. Most were in the North Atlantic from 1939 to 1943 and involved attacks by U-boat wolfpacks. Convoy battles also occurred in the Arctic Ocean, Mediterranean Sea and western Pacific Ocean.",https://en.wikipedia.org/wiki/Convoy_battles_of_World_War_II,World War II battles
List of timelines of World War II,This is a list of timelines of events over the period of World War II.,https://en.wikipedia.org/wiki/List_of_timelines_of_World_War_II,World War II battles
Pacific War,"The Pacific War, sometimes called the Asia–Pacific War or the Pacific Theater, was the theater of World War II fought between the Empire of Japan and the Allies in East and Southeast Asia, the Pacific and Indian Oceans, and Oceania. It was geographically the largest theater of the war, including the Pacific Ocean theater, the South West Pacific theater, the Second Sino-Japanese War, and the brief Soviet–Japanese War, and included some of the largest naval battles in history. War between Japan and the Republic of China had begun in 1937, with hostilities dating back to Japan's invasion of Manchuria in 1931, but the Pacific War is more widely accepted to have begun in 1941, when the United States and United Kingdom were brought into the war, after being attacked by Japan.
Japan invaded French Indochina in 1940, and extended its control over the entire territory in July 1941. On 7–8 December 1941, Japan attacked the American naval base at Pearl Harbor in Hawaii; the U.S.-held Philippines, Guam, and Wake Island; and the British colonies of Malaya, Singapore, and Hong Kong, followed by a Japanese declaration of war. The Japanese achieved great success over the next six months, allying with Thailand and capturing the listed territories (except for Hawaii) in addition to Borneo, New Britain, the Dutch East Indies, Burma, the Solomon and Gilbert Islands, and parts of New Guinea. In May 1942, Japanese and Allied aircraft carriers fought at the Battle of Coral Sea, resulting in the retreat of a Japanese invasion force headed for Port Moresby. In June, Japan invaded the Aleutian Islands, and in the central Pacific was defeated at the Battle of Midway, considered a key turning point in the war. After this point, the Japanese experienced great difficulty replacing their losses in ships and aircraft as the U.S. produced ever increasing numbers of both.
Major Allied offensives in the Pacific began in August 1942 with the Guadalcanal and New Guinea campaigns. These were followed by",https://en.wikipedia.org/wiki/Pacific_War,World War II battles
List of World War II battles involving the United States,This is a list of all battles involving the United States during World War II.,https://en.wikipedia.org/wiki/List_of_World_War_II_battles_involving_the_United_States,World War II battles
List of World War II video games,"Below is a list of video games that center on World War II for their setting.

",https://en.wikipedia.org/wiki/List_of_World_War_II_video_games,World War II battles
Commanders of World War II,"The Commanders of World War II were for the most part career officers. They were forced to adapt to new technologies and forged the direction of modern warfare. Some political leaders, particularly those of the principal dictatorships involved in the conflict, Adolf Hitler (Germany), Benito Mussolini (Italy), and Hirohito (Japan), acted as dictators for their respective countries or empires.",https://en.wikipedia.org/wiki/Commanders_of_World_War_II,World War II battles
World War II,"World War II or the Second World War (1 September 1939 – 2 September 1945) was a global conflict between two coalitions: the Allies and the Axis powers. Nearly all of the world's countries participated, with many nations mobilising all resources in pursuit of total war. Tanks and aircraft played major roles, enabling the strategic bombing of cities and delivery of the first and only nuclear weapons ever used in war. World War II is the deadliest conflict in history, causing the death of 70 to 85 million people, more than half of whom were civilians. Millions died in genocides, including the Holocaust, and by massacres, starvation, and disease. After the Allied victory, Germany, Austria, Japan, and Korea were occupied, and German and Japanese leaders were tried for war crimes.
The causes of World War II included unresolved tensions in the aftermath of World War I, the rise of fascism in Europe and militarism in Japan. Key events preceding the war included Japan's invasion of Manchuria in 1931, the Spanish Civil War, the outbreak of the Second Sino-Japanese War in 1937, and Germany's annexations of Austria and the Sudetenland. World War II is generally considered to have begun on 1 September 1939, when Nazi Germany, under Adolf Hitler, invaded Poland, after which the United Kingdom and France declared war on Germany. Poland was divided between Germany and the Soviet Union under the Molotov–Ribbentrop Pact. In 1940, the Soviet Union annexed the Baltic states and parts of Finland and Romania. After the fall of France in June 1940, the war continued mainly between Germany and the British Empire, with fighting in the Balkans, Mediterranean, and Middle East, the aerial Battle of Britain and the Blitz, and the naval Battle of the Atlantic. Through campaigns and treaties, Germany gained control of much of continental Europe and formed the Axis alliance with Italy, Japan, and other countries. In June 1941, Germany invaded the Soviet Union, opening the Eastern Front and initia",https://en.wikipedia.org/wiki/World_War_II,World War II battles
Battle of the Atlantic,"The Battle of the Atlantic, the longest continuous military campaign in World War II, ran from 1939 to the defeat of Nazi Germany in 1945, covering a major part of the naval history of World War II. At its core was the Allied naval blockade of Germany, announced the day after the declaration of war, and Germany's subsequent counterblockade. The campaign peaked from mid-1940 to the end of 1943.
The Battle of the Atlantic pitted U-boats and other warships of the German Kriegsmarine (navy) and aircraft of the Luftwaffe (air force) against the Royal Navy, Royal Canadian Navy, United States Navy, and Allied merchant shipping. Convoys, coming mainly from North America and predominantly going to the United Kingdom and the Soviet Union, were protected for the most part by the British and Canadian navies and air forces. These forces were aided by ships and aircraft of the United States beginning on 13 September 1941. The Germans were joined by submarines of the Italian Regia Marina (royal navy) after Germany's Axis ally Italy entered the war on 10 June 1940.
As an island country, the United Kingdom was highly dependent on imported goods. Britain required more than a million tons of imported material per week in order to survive and fight. The Battle of the Atlantic involved a tonnage war: the Allies struggled to supply Britain while the Axis targeted merchant shipping critical to the British war effort. Rationing in the United Kingdom was also used with the aim of reducing demand, by reducing wastage and increasing domestic production and equality of distribution. From 1942 onwards, the Axis also sought to prevent the build-up of Allied supplies and equipment in the UK in preparation for the invasion of occupied Europe. The defeat of the U-boat threat was a prerequisite for pushing back the Axis in western Europe. The outcome of the battle was a strategic victory for the Allies—the German tonnage war failed—but at great cost: 3,500 merchant ships and 175 warships were sunk i",https://en.wikipedia.org/wiki/Battle_of_the_Atlantic,World War II battles
