battle,battleLabel,date,location
http://www.wikidata.org/entity/Q128875,Battle of Debre Tabor,1842-02-07T00:00:00Z,http://www.wikidata.org/entity/Q163619
http://www.wikidata.org/entity/Q128996,Battle of Akroinon,0740-01-01T00:00:00Z,http://www.wikidata.org/entity/Q166824
http://www.wikidata.org/entity/Q129117,Battle of Kitcheners' Wood,,http://www.wikidata.org/entity/Q1918649
http://www.wikidata.org/entity/Q129578,Battle of Aga-Cayiri,1488-08-25T00:00:00Z,http://www.wikidata.org/entity/Q620864
http://www.wikidata.org/entity/Q130847,Battle of Verdun,,http://www.wikidata.org/entity/Q154748
http://www.wikidata.org/entity/Q130861,Battle of Kursk,1943-01-01T00:00:00Z,http://www.wikidata.org/entity/Q3159
http://www.wikidata.org/entity/Q131386,Battle of Alesia,,http://www.wikidata.org/entity/Q835966
http://www.wikidata.org/entity/Q131969,Battle of Thermopylae,-0479-07-01T00:00:00Z,http://www.wikidata.org/entity/Q194450
http://www.wikidata.org/entity/Q131969,Battle of Thermopylae,-0479-08-06T00:00:00Z,http://www.wikidata.org/entity/Q194450
http://www.wikidata.org/entity/Q132568,Battle of the Somme,,http://www.wikidata.org/entity/Q37646
http://www.wikidata.org/entity/Q133977,Battle of Caravaggio,1448-09-15T00:00:00Z,http://www.wikidata.org/entity/Q100145
http://www.wikidata.org/entity/Q134114,Battle of Austerlitz,1805-12-02T00:00:00Z,http://www.wikidata.org/entity/Q193724
http://www.wikidata.org/entity/Q135468,Battle of Haw's Shop,1864-05-28T00:00:00Z,http://www.wikidata.org/entity/Q341679
http://www.wikidata.org/entity/Q135748,Battle of Ye,0204-01-01T00:00:00Z,
http://www.wikidata.org/entity/Q136344,Battle of Köse Dağ,1243-07-03T00:00:00Z,http://www.wikidata.org/entity/Q122875832
http://www.wikidata.org/entity/Q137567,Battle of Asculum,-0088-01-01T00:00:00Z,http://www.wikidata.org/entity/Q1290401
http://www.wikidata.org/entity/Q138025,Siege of Veprik,1708-12-23T00:00:00Z,http://www.wikidata.org/entity/Q4107325
http://www.wikidata.org/entity/Q139808,Battle of the Catalaunian Plains,0451-06-21T00:00:00Z,http://www.wikidata.org/entity/Q5489
http://www.wikidata.org/entity/Q139808,Battle of the Catalaunian Plains,0451-06-21T00:00:00Z,http://www.wikidata.org/entity/Q2955921
http://www.wikidata.org/entity/Q140439,Battle of Markuszów,1792-07-26T00:00:00Z,http://www.wikidata.org/entity/Q2380331
http://www.wikidata.org/entity/Q140443,Battle of Zelva,,http://www.wikidata.org/entity/Q2618952
http://www.wikidata.org/entity/Q145588,Battle of Gumbinnen,1914-08-20T00:00:00Z,http://www.wikidata.org/entity/Q5663
http://www.wikidata.org/entity/Q149560,Battle of Stallupönen,1914-08-17T00:00:00Z,http://www.wikidata.org/entity/Q172484
http://www.wikidata.org/entity/Q151005,Battle of Leipzig,,http://www.wikidata.org/entity/Q2079
http://www.wikidata.org/entity/Q151290,Battle of Moscow,1941-01-01T00:00:00Z,http://www.wikidata.org/entity/Q1697
http://www.wikidata.org/entity/Q151340,Battle of France,,http://www.wikidata.org/entity/Q31
